ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,ILID,Synergist
7712,Barbell Rear Lunge (VERSION 2),Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps",0049,"Adductor Magnus, Soleus"
7812,Barbell Rear Lunge,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps",0050,"Adductor Magnus, Soleus"
7912,Barbell Revers Wrist Curl (VERSION 2),Strength,Forearms,Barbell,Male,Wrist Extensors,0051,
8012,Barbell Reverse Curl,Strength,Upper Arms,Barbell,Male,Brachioradialis,0052,"Biceps Brachii, Brachialis"
8112,Barbell Reverse Preacher Curl,Strength,Forearms,Barbell,Male,Brachioradialis,0053,"Biceps Brachii, Brachialis"
8212,Barbell Reverse Wrist Curl,Strength,Forearms,Barbell,Male,Wrist Extensors,0054,
8412,Barbell Rollout,Strength,Hips,Barbell,Male,"Iliopsoas, Rectus Abdominis",0055,"Adductor Brevis, Adductor Longus, Deltoid Posterior, Pectineous, Pectoralis Major Sternal Head, Sartorius, Tensor Fasciae Latae, Teres Major"
8512,Barbell Romanian Deadlift,Strength,Hips,Barbell,Male,"Erector Spinae, Gluteus Maximus",0056,"Adductor Magnus, Hamstrings, Quadriceps, Soleus"
8612,Barbell Seated Behind Head Military Press,Strength,Shoulders,Barbell,Male,Deltoid Anterior,0057,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
8812,Barbell Seated Calf Raise,Strength,Calves,Barbell,Male,Gastrocnemius,0058,Soleus
8912,Barbell Seated Close-grip Concentration Curl,Strength,Upper Arms,Barbell,Male,Brachialis,0059,"Biceps Brachii, Brachioradialis"
9012,Barbell Seated Good morning,Strength,Hips,Barbell,Male,Gluteus Maximus,0060,Hamstrings
9112,Barbell Seated Overhead Press,Strength,Shoulders,Barbell,Male,Deltoid Anterior,0061,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
9212,Barbell Seated Overhead Triceps Extension,Strength,Upper Arms,Barbell,Male,Triceps Brachii,0062,
9312,Barbell Seated Twist (on stability ball),Strength,Waist,Barbell,Female,Obliques,0063,Iliopsoas
9412,Barbell Seated Twist,Strength,Waist,Barbell,Male,Obliques,0064,Iliopsoas
